nm 1 2 0
om 1 1 0
as 1 3 0
k, 1 1 0
j,k 1 3 350
jknm 2 1 0
mlcw 3 3 0
lk 1 1 0
cx 1 1 0
sa 2 1 0
,nm 1 3 0
fwe 2 1 0
vree 1 2 0
